Map,Algorithm,Success,Path Length,Path Cost,Nodes Expanded,Time (seconds)
Small,BFS,Yes,9,8,23,0.0003
Small,UCS,Yes,9,8,22,0.0003
Small,A_STAR,Yes,9,8,20,0.0002
Small,SIMULATED_ANNEALING,Yes,9,8,1000,0.0151
Medium,BFS,Yes,19,30,92,0.0003
Medium,UCS,Yes,19,30,91,0.0004
Medium,A_STAR,Yes,19,30,91,0.0004
Medium,SIMULATED_ANNEALING,Yes,19,30,1000,0.0212
Large,BFS,Yes,39,80,389,0.0016
Large,UCS,Yes,39,68,389,0.0018
Large,A_STAR,Yes,39,68,389,0.0017
Large,SIMULATED_ANNEALING,Yes,39,80,1000,0.0362
Dynamic,BFS,Yes,15,29,62,0.0002
Dynamic,UCS,Yes,15,23,62,0.0002
Dynamic,A_STAR,Yes,15,23,61,0.0002
Dynamic,SIMULATED_ANNEALING,Yes,15,29,1000,0.0184
